企業名,クライアント名,商品名,カテゴリー,URL,配信ステータス,配信目的
花王株式会社,Primavista,乾燥くずれ防止下地(２本目）,メイクアップ,https://www.tiktok.com/@tobuy_desu/video/7294209320353402130?lang=ja-JP,配信中,動画視聴
サントリーウエルネス株式会社,アサヒカルピスウェルネスショップ,VARON,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7295568112873786625?lang=ja-JP,配信中,動画視聴
ピップ株式会社,スリムウォーク,着圧レギンス,日用品,https://www.tiktok.com/@tobuy_desu/video/7296276184642505986?lang=ja-JP,配信中,動画視聴
花王株式会社,Liese,くっきりカールローション,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7296740120961764615?lang=ja-JP,配信中,動画視聴
花王株式会社,ハミングフレアフレグランス,ウィンターティーの香り,日用品,https://www.tiktok.com/@tobuy_desu/video/7296673281363463425?lang=ja-JP,配信中,動画視聴
小林製薬株式会社,足の冷えない不思議なくつ下,足の冷えない不思議なくつ下,日用品,https://www.tiktok.com/@tobuy_desu/video/7299660214305934594?lang=ja-JP,配信中,動画視聴
花王株式会社,バブ,あふだけ二本目,日用品,https://www.tiktok.com/@moshiyome_tobuy/video/7311151888001436929?lang=ja-JP,配信中,動画視聴
花王株式会社,Laurier,ショーツ型ナプキン,日用品,https://www.tiktok.com/@tobuy_desu/video/7300756096531172610?lang=ja-JP,配信中,動画視聴
花王株式会社,ケープ,前髪マスカラ,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7303425008011840786?lang=ja-JP,配信中,動画視聴
楽天グループ株式会社,楽天ラグジュアリービューティー,韓国コスメフェス,その他,https://www.tiktok.com/@tobuy_desu/video/7303385425282911496?lang=ja-JP,配信中,動画視聴
株式会社J-オイルミルズ,スマートグリーンパック,Wハーフ,食品,https://www.tiktok.com/@moshiyome_tobuy/video/7306343769778048274?lang=ja-JP,配信中,動画視聴
小林製薬株式会社,寝るとき足ホットン,寝るとき足ホットン,日用品,https://www.tiktok.com/@tobuy_desu/video/7308576170935618823?lang=ja-JP,配信中,動画視聴
花王株式会社,Liese,ニュアンススタイリングオイル,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7308575103321754881?lang=ja-JP,配信中,動画視聴
ライオン株式会社,hadakara,増える泡ボディーソープ,日用品,https://www.tiktok.com/@tobuy_desu/video/7308986963330223368?lang=ja-JP,配信中,動画視聴
花王株式会社,Liese,秒で前髪復活パウダー,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7309297847055224082?lang=ja-JP,配信中,動画視聴
小林製薬株式会社,あずきのチカラ,あずきのチカラ,日用品,https://www.tiktok.com/@tobuy_desu/video/7309289463153265922?lang=ja-JP,配信中,動画視聴
花王株式会社,マジックリン,キッチンマジックリン泡ジェット,日用品,https://www.tiktok.com/@tobuy_desu/video/7311171192549936392,配信中,動画視聴
花王株式会社,バブ,あふれるのはきっと、お湯だけじゃない,日用品,https://www.tiktok.com/@moshiyome_tobuy/video/7311151888001436929?lang=ja-JP,配信中,動画視聴
