video_id,num_texts,avg_size,avg_color_r,avg_color_g,avg_color_b,frame_count,keywords,sentiment,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
47,347,1246.657060518732,165.97077878750494,153.74232600101038,152.75517633278312,524,AI 生 EE くつ TikTok tobuy desu bjore bodyjelly Co gssye k 還 是 SW り 草 だり エ び 肌 awy ひる 実 感 っ ドラ ィ ひる り 志 分 ド NG 作出 和 く び ザ MP ひる 表地 le ド う イ わん り ヴェ ー ル り d 間 分 出る 前 ササ っ 片手 開ける 直接 塗れる くべる r いく j イプ oc くだ さい t く っ CI 宣 シー ト 振 パ ウ ダ ー り 昌 く っ 合 区 いね きみ 人 ぐ かき 了 っ くだ さい 謝 使い け 以つ 全う 岳人 Li we moe 人 ST 人 we 敵 Fr SO Go Go 前 婆 り リ 汗 く び mas り 実 感 っ ド ボラ イ ひ 坦 ゲ ェ ー ル り 成 分 ドラ イィ バウ ダー 人 汗 開く 汗 く び Pd 実 思 っ fcm ー ド ライ バウ り 喚 分 白い っ 人 坦 池 基 てい ねい ぐ 品 守 本 ステ ン 信 ME AI いか ゼ け 地 頭 び ひ TikTok tobuy desu jo マル,0.4453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9953109622001648,0.0,0.0
51,33,202.45454545454547,179.29281834629623,177.94598692991298,184.58086376049977,354,個人 避 下 効 巣 保証 いで メ いい アッ プ 郊 巣 本 imavisia td lavander SP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9526273608207703,0.0
56,265,1454.8867924528302,147.84657111711505,137.84763293470687,145.14105984658727,654,コ コ 上 mm Al コ 兄 mm コ マズ ひ tikto tobuy desu 及 び ひ TikTok tobuy desu 坦 MP 時 トリ 本 ポメ ー ジ 机 欄 区 多 果 コメ タイ リン ジ 世 基 人 人 半 多 ひ TikTok tobuy desu ェ ッ セン シャ ル ザ 敵 キメ 美容 ウォ ー タ 誤 史 KO ゅ く セ ゼニ ロン ぬ ー 玉 ゃ すす め 塗り 方 名 先 む け 込 む ドラ イヤ ー 之 連 乾 すぎる 万 先 集中 ケア こぼす 直 使用 傷 時 恋 洪 民 具 生ずる いな いか 注意 ゆみ 刺激 色 抜ける 白 瑛 あたる 同様 異常 出 時 覗く 続ける 症状 悪化 ハ っ 時 ぐ 充分 洗い 流す 人 呈 流 館 数 回 羽 とる ミラ イ 後 滞り オルト 寺 め っ 同様 異常 出 AA 定 状 表 化 TikTok,0.0,0.0,0.0,0.0,0.0,0.9941163063049316,0.0,0.0,0.0,0.0,0.0
59,116,1095.2586206896551,152.32737954026055,157.6606217407984,167.26545017477483,442,kok ー マ tobuy desu shanmpoo conditioner コン ンー barrier shanpoo conditioner 系 転 守る 素 医 守る バリ アシ ャ ン フー ミリア コン ディ ショ ナー 人 b ト ー まき ヽ ひ TikTok tobuy desu 個 人 嘆 埋 効果 保証 うる 時 的 効果 ひび tik tobuy 健 コ ラー シ ャ ッ プー to buy 較 べ リア コン ディ シー barnes shampoo 業 机 守る アシ ャ ンプ ー,0.0,0.0,0.0,0.0,0.9881552457809448,0.0,0.0,0.0,0.0,0.0,0.0
60,73,1403.6164383561643,175.6216943841942,176.50427342253712,173.50366686628703,493,び TikTok tfobuy desu ー イプ ー ダ グ 多 やる ウォ ー タ ー タ イプ ノン ガス 手 ぐし 何 度 スタ イル 元 通り 固め キ ー プ シリ ー ズ 手 ぐ 通す タイ プ ひ TikTok tobuy desu tobuy desi ひ ゴ TikTok tobuy desu capes hastyh g Product heypryed onlo Hair to Keep youl hstyle AS ou lke,0.0,0.0,0.0,0.0,0.0,0.0,0.9861504435539246,0.0,0.0,0.0,0.0
61,60,3565.9166666666665,131.08853178979646,125.3059981666131,134.1834793204488,604,le TikTok tobuy dei ペー ー ひ TikTok tobuy desu ln び jiktok 人 tobuy desu pe ひ TikTok tobuy desu 人 人 りす ひ tiktokt tobuy desu tobuy desi リー ゼ 前 髪 リ セッ ト パ ウ ダー ク 販 く tobuy desu au び TikTok 人 ペ tobuy des,0.0,0.0,0.0,0.0,0.6251837015151978,0.0,0.0,0.0,0.0,0.0,0.3597172796726227
62,67,1147.3283582089553,155.22858980421017,160.76376470756762,175.42758287136652,736,maskfi JI tirtir tirtir tobuy desu メイ クア ッ プ 林 居る 人 攻 多 果 保 度 いで ひ TikTok tobuy desu balm KN excr CS ヾ 日 本 限定 ii FAR inrrerlerts 條 混 學 司 用 Hello MA nyo 還 本 くつ,0.125,0.0,0.980428159236908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,343,1378.0087463556852,173.43559307986058,174.08277183006848,177.53766171466873,536,z ア び TikTok gtobuy desu び TikTok tobuy desu 今 記 結 めっちゃ コス メ 圭 っ tobuy desu 各 商品 タダ っ っ レー tobuy desu 募集 中 イベ ント 司 品 配送 ジャ パン バン テー ン ミラ タル ズ うる ブ ー ス ト 通算 当選 者 数 万 件 突破 AP 気 商品 無料 試せる いす sae tobuy desu 通 和 当 財 者 表 万 件 稀 破 m ト 休 気 商品 無料 試せる いま snge Be x l く うつ 議 績 ゃ 流行 り 人 所 mazon amagen 補る トド 欠 える 沈む イベ ント 応募 どの 条件 クリ ア 毎月 抽選 名 様 Amazon ギ フト 券 円 分 プレ ゼン ト 会 員 登録 後 表示 ミッ ショ ン ユー サー 情報 入力 イベ ント 複数 参加 クリ ア 抽 選 参加 SS 上 首 ビデ 科 amegen 下 欠 人 包 補る ロン ル 毎月 抽選 名 様 Amazon ギ フト 券 円 分 プレ ゼン ト 会 員 登録 後 表示 ミッ ショ ン 情報 入力 イベ ント 複 唆 湖 軸 抽 選 参加 切 ゃ 人 ゆき デ デフ ト 券 ヽ ポ イン ド ギ 葉 ひ TikTok tobuy desu ひ TikTok tobuy desu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9957332611083984
64,79,1176.9493670886077,130.15963237257037,132.2386275599184,137.63572879547078,422,ひび TikTok tobuy desu びび TikTok tobuy desu tobuy desu ウマ 仕る り イメ ー ジ リズ x ム シー ムレ スウ ェ 使 用 ES 訪 tok 玩 上 っ うそ こま desu 住 り イ メー ザジ リス ズム サー ムレ スウェ p 使 用 いさ c tik 埋 リズ ムシ ー ム レス ウェ 人 BU GE,0.0,0.0,0.9852421283721924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,95,2545.6,98.05623906417411,124.14689334914873,157.476393361557,452,e IE 列 業 TikTok 名 脱 oshiyome tobuy パク バ め 釣 久 回 詞 糖 質 床 ひ TikTok moshiyome tobuy 米 大 雪代 ハラ ンス フラレ ン ト まこ めす さい フタ WA 分 k 子 ンジ 約 分 友 給 あける 江 w り 大きい 良い め っ ちゃ 美味 ー,0.0,0.0,0.0,0.0,0.0,0.0,0.9839245080947876,0.0,0.0,0.0,0.0
66,467,1996.475374732334,160.72526019327597,164.19974964503743,182.52375205652447,456,oe ン 高級 ホテル 香り ー de 滑 具 カ premium aror a ス プレ ュー マー フレ グラ ンカ eseb り り 回 っ 時 がかる LO PP 隊 DA 大 昌 MO 加 臭 堅 約 MW スプ レー 誠 赤 SM 折 力 premium aroma ス レー ン kbu 回 り り ワ エッ ト 叶 仙 剛司 生 空間 薬液 っ 物 企 笛 日光 当たる 場所 ファ ン ビン 内 放置 倫 変色 博 め め ひ TikTok tobuy desu PR nm OMA urba luxe ひ TikTok tobuy desu mA スプ レー deodorier wiuw ATO ー テリア フロ ー ラ ブル 有り 合う り 同 合う 和 人 馬 功 っ 箇 囲 除 画 うた 箇 較 天天 EK 季 さや 逆さ 使用 便座 画 穫 ス リー ー u 代 約 OM 以つ 上 区 スプ レー ヵ 月 使用 WM 秒 以上 スプ レー Word 手 届く ころ 置く 但 高温 bi 光 当 場所 ファン ヒ レーター Vo 人 作 め ニス 塗装 部 ど NE on ホヤ ー ズ 半 剖 人 r 大 昌 合 充 分 流水 洗い 流 人 気 高 温 SE DD arom スプ レー deodorze さま 使用 恒 時 OM 以つ 上 導 ヵ 月 使用 N 咲 秒 以上 スプ レー pe 司 く ころ 四 全 吉 湯 H 光 当たる 場所 フ ァ ン ヒー ダー ー どり 居る 人 放 色 傷める ちえ Cu 日 本 ニス ど あか Gb タビ 年 破る 右 人 人 在 人 NK 洗い 流し ー velvet musk 上ル 衝 び nr tik JNN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9966780543327332,0.0,0.0,0.0
67,239,2521.744769874477,182.32670724029074,178.62573357152507,184.80008921959757,498,ひ TikTok l moshiyome tobuy esg LE tobuy ア フ ェ イ スケ ア ボ ディ ク グレる ー ド l EMS 刺 激 グレる ー el 頭皮 PA ニー っ プラ ー 揉む 〆 mytrex eeauty ッ ア ェ クー 此 プ FX 中 光 必 mytrex オ リ ジ ナ ル アプ ロー チ 頭皮 フェ イス 効果 的 リフ ト ケ ア 分 表 情 筋 エ クサ サイ ズ mytrex EMS HEAD SpA PRO 昌 mytrexjjd 人 ケ テ ブ テム MI くる フ HL xxu 明 フロ ペイ マメ mytrex オ リ ジ ナ ル アプ ロー チ 頭皮 フェ イス 効果 的 リフ ト ケ ア 日 分 表 情 筋 エ クサ サイ ズ ンー 頭 筋 顔 筋 刺激 脱 マ スク 表情 自信 mvtrex 還 還 還 還 還 還 還 還 還 還 還 還 還 気 ワイ ー NE e ン ひ TikTok moshiyome tobuy デ 計 WB トス 門 所 チ 到 神 PA ニー,0.0,0.0677812248468399,0.0,0.0,0.0,0.0,0.9274554252624512,0.0,0.0,0.0,0.0
