,手入力,※1年前の数値は出せない,,満足度参考基準？,視聴達成率,140%以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,管理画面から自動入力,,,,ENG率,0.6%以上,,,,,,オーガニックも含めた再生回数,,,,,,,,,,,,,,,,,,,,,リプライ有,,,,,,リプライ無,,,,,,,,,,,,,,,,,
,関数,,,,コメント数,50件以上,,,,,★,★,,,,,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,,,,
,,,,,いいね数,"10,000件以上",,リーチ、動画視聴の2本あるやつはキャンペーンIDを記載しない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,企業名,クライアント名,商品名,カテゴリー,URL,配信ステータス,広告アカウントID,campaign_id,投稿日,配信目的,想定再生回数,実績再生回数,総額,配信予算,配信費用,想定再生単価,実績再生単価,視聴達成率,掲載単価(N),動画秒数,いいね,いいね率,コメント,コメント率,シェア,シェア率,保存,保存率,ENG数,ENG率,CPC,CPM,IMP数,CL数,CTR,リーチ数,リーチ率,FQ,動画視聴数,2秒視聴率,2秒動画再生数,6秒視聴率,6秒動画再生数,完全視聴率,再生完了数,75%(動画が再生された長さが),50%(動画が再生された長さが),25%(動画が再生された長さが),平均再生秒数,一人当たりの平均視聴時間,オーガニック再生数（実績ー広告配信mp）,リーチ単価,視聴単価,cpc,完全視聴単価,エンゲージ単価
,花王株式会社,Primavista,デイトリートメント２本目,メイクアップ,https://www.tiktok.com/@tobuy_desu/video/7288970269174140178?lang=ja-JP,配信中,7062602315437522946,1779534313089057,2023/10/12,動画視聴,"2,000,000","2,600,000","¥2,500,000","¥850,000","¥850,000",¥1.25,¥0.96,130.00%,¥0.35,11.56,"3,830",0.15%,19,0.001%,23,0.001%,43,0.002%,"3,915",0.15%,¥116,¥354,"2,394,940","7,319",0.31%,"1,063,673",44.41%,2.25,"2,351,688",31.30%,"736,010",12.06%,"283,496",4.65%,"109,259","173,597","290,881","500,749",2.82,6.24,"205,060",¥1.2,,,,
,小林製薬株式会社,ケアナボン,ケアナボン,日用品,https://www.tiktok.com/@tobuy_desu/video/7289296808495402247,配信中,7273657573268619266,1779613854350369,2023/10/13,動画視聴,"1,500,000","3,200,000","¥2,000,000","¥700,000","¥699,325",¥1.33,¥0.63,213.33%,¥0.24,15.33,"35,500",1.11%,122,0.004%,416,0.013%,"1,100",0.034%,"37,138",1.16%,¥0,¥244,"2,859,569",0,0.00%,"1,937,339",67.75%,1.48,"2,717,405",77.20%,"2,097,960",70.05%,"892,711",16.06%,"436,314","702,941","822,684","1,396,488",7.14,10.02,"340,431",,,,,
,小林製薬株式会社,命の母,命の母ホワイト,日用品,https://www.tiktok.com/@tobuy_desu/video/7290779312666463490?lang=ja-JP,配信中,7252253006316519426,1779967573906449,2023/10/17,動画視聴,"2,900,000","3,700,000","¥2,800,000","¥1,400,000","¥938,607",¥0.97,¥0.76,127.59%,¥0.41,18.09,"7,035",0.19%,77,0.002%,62,0.002%,78,0.002%,"7,252",0.20%,¥0,412,"2,275,963",0,0.00%,"1,324,419",58.19%,1.72,"2,257,282",29.35%,"662,488",9.42%,"212,530",2.06%,"46,453","69,721","127,329","280,597",3.24,5.52,"1,424,037",,,,,
,株式会社リンガーハット,リンガーハット,かきちゃんぽん,食品,https://www.tiktok.com/@tobuy_desu/video/7291500275142003976?lang=ja-JP,配信中,7288139027218202625,1780152359330849,2023/10/19,動画視聴,"1,000,000","1,900,000","¥1,300,000","¥450,000","¥449,995",¥1.30,¥0.68,190.00%,¥0.28,15.28,"3,005",0.16%,82,0.004%,170,0.009%,17,0.001%,"3,274",0.17%,¥0,277,"1,623,409",0,0.00%,"1,038,571",63.97%,1.56,"1,614,656",67.18%,"1,084,744",26.49%,"427,742",10.59%,"171,008","245,915","348,722","685,886",6.82,10.61,"276,591",,,,,
,株式会社ウテナ,utena,ゆず油,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7292998222581091592?lang=ja-JP,配信中,7275216130602532865,1780517524335650,2023/10/23,動画視聴,"1,000,000","1,500,000","¥1,300,000","¥450,000","¥449,859",¥1.30,¥0.87,150.00%,¥0.35,13.03,"2,678",0.18%,57,0.004%,36,0.002%,53,0.004%,"2,824",0.19%,¥119,353,"1,270,904","3,764",0.30%,"804,718",63.32%,1.58,"1,263,188",45.21%,"571,027",18.36%,"231,975",6.87%,"86,760","120,598","208,631","370,390",3.75,5.89,"229,096",,,,,
,花王株式会社,Primavista,乾燥くずれ防止下地(２本目）,メイクアップ,https://www.tiktok.com/@tobuy_desu/video/7294209320353402130?lang=ja-JP,配信中,7062602315437522946,1780815951168561,2023/10/26,動画視聴,"1,150,000","1,500,000",,,"¥519,995",¥0.00,¥0.00,130.43%,¥0.40,14.49,"4,172",0.28%,22,0.001%,26,0.002%,45,0.003%,"4,265",0.28%,¥129,395,"1,313,593","4,013",0.31%,"898,066",68.37%,1.46,"1,305,318",66.64%,"869,847",19.44%,"253,725",4.79%,"62,528","102,000","180,602","448,701",4.22,6.13,"186,407",¥1.4,,,,
,サントリーウエルネス株式会社,アサヒカルピスウェルネスショップ,VARON,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7295568112873786625?lang=ja-JP,配信中,7286749228490276865,1781147104678962,2023/10/30,動画視聴,"1,000,000","1,100,000","¥1,300,000","¥450,000","¥450,000",¥1.30,¥1.18,110.00%,¥0.46,17.69,"4,073",0.37%,12,0.001%,15,0.001%,7,0.001%,"4,107",0.37%,¥121,455,"987,044","3,696",0.37%,"596,096",60.39%,1.66,"982,105",76.20%,"748,388",19.82%,"194,649",3.50%,"34,352","60,385","99,807","339,300",4.63,7.63,"112,956",¥0.0,,,,
,ピップ株式会社,スリムウォーク,着圧レギンス,日用品,https://www.tiktok.com/@tobuy_desu/video/7296276184642505986?lang=ja-JP,配信中,7282942618160644098,1781330214606881,2023/11/01,動画視聴,"2,500,000","3,600,000","¥2,400,000","¥1,050,000","¥1,050,000",¥0.96,¥0.67,144.00%,¥0.33,13.65,"14,600",0.41%,97,0.003%,211,0.006%,307,0.009%,"15,215",0.42%,¥0,333,"3,149,516",0,0.00%,"1,461,610",46.41%,2.15,"3,132,115",40.85%,"1,279,555",13.07%,"409,237",6.18%,"193,462","271,662","384,699","606,132",4.02,8.61,"450,484",,,,,
,花王株式会社,Liese,くっきりカールローション,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7296740120961764615?lang=ja-JP,配信中,7078872325327781890,1781435294543874,2023/11/02,動画視聴,"4,670,000","7,400,000","¥3,200,000","¥1,820,000","¥1,820,000",¥0.69,¥0.43,158.46%,¥0.32,14.54,"71,600",0.97%,"1,008",0.014%,558,0.008%,"1,551",0.021%,"74,717",1.01%,¥0,321,"5,667,090",0,0.00%,"2,868,903",50.62%,1.98,"5,635,173",52.24%,"2,943,916",21.50%,"1,211,707",9.25%,"521,325","897,428","1,127,051","1,923,538",5.81,11.41,"1,732,910",,,,,
,花王株式会社,ハミングフレアフレグランス,ウィンターティーの香り,日用品,https://www.tiktok.com/@tobuy_desu/video/7296673281363463425?lang=ja-JP,配信中,7288969779468337154,1781417721146418,2023/11/02,動画視聴,"2,500,000","3,500,000","¥2,400,000","¥1,050,000","¥1,050,000",¥0.96,¥0.69,140.00%,¥0.35,12.65,"35,900",1.03%,37,0.001%,170,0.005%,640,0.018%,"36,747",1.05%,¥106,345,304170200.00%,"9,834",0.32%,"1,883,020",61.91%,1.62,"3,024,301",54.13%,"1,637,154",18.30%,"553,550",5.60%,"169,355","285,006","513,970","1,040,658",3.85,6.18,"458,298",,,,,
,小林製薬株式会社,足の冷えない不思議なくつ下,足の冷えない不思議なくつ下,日用品,https://www.tiktok.com/@tobuy_desu/video/7299660214305934594?lang=ja-JP,配信中,7290467673350176770,1782140310971410,2023/11/10,動画視聴,"1,000,000","1,400,000","¥1,300,000","¥450,000","¥450,000",¥1.30,¥0.93,140.00%,¥0.38,13.96,"1,534",0.11%,34,0.002%,33,0.002%,61,0.004%,"1,662",0.12%,¥164,375,"1,197,476","2,738",0.23%,"696,587",58.17%,1.72,"1,192,428",54.47%,"649,527",24.02%,"286,449",9.05%,"107,925","157,266","237,296","453,609",4.63,7.93,"202,524",,,,,
,花王株式会社,バブ,あふだけ二本目,日用品,https://www.tiktok.com/@moshiyome_tobuy/video/7311151888001436929?lang=ja-JP,配信中,7278541720642633730,1784949756154994,2023/11/11,動画視聴,"1,000,000","1,800,000","¥1,000,000","¥500,000","¥499,996",¥1.00,¥0.56,180.00%,¥0.32,14.33,"8,573",0.48%,85,0.005%,75,0.004%,134,0.007%,"8,867",0.49%,¥83,319,"1,566,007","6,020",0.38%,"1,266,637",80.88%,1.24,"1,556,865",71.87%,"1,118,917",32.95%,"512,993",11.32%,"176,188","292,369","449,377","659,438",5.51,6.77,,,,,,
,花王株式会社,Laurier,ショーツ型ナプキン,日用品,https://www.tiktok.com/@tobuy_desu/video/7300756096531172610?lang=ja-JP,配信中,7289360328579219458,1782411982682162,2023/11/13,動画視聴,"2,000,000","3,200,000","¥2,500,000","¥850,000","¥850,000",¥1.25,¥0.78,160.00%,¥0.32,15.44,"24,200",0.76%,622,0.019%,409,0.013%,"1,266",0.040%,"26,497",0.83%,¥91,316,"2,686,561","9,341",0.35%,"2,418,926",90.04%,1.11,"2,671,916",62.43%,"1,668,009",32.82%,"876,912",14.44%,"385,833","566,078","734,290","1,047,803",6.73,7.43,"513,439",,,,,
,花王株式会社,ケープ,前髪マスカラ,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7303425008011840786?lang=ja-JP,配信中,7151369742064861186,1783063695956994,2023/11/20,動画視聴,"2,000,000","3,800,000","¥2,500,000","¥850,000","¥849,992",¥1.25,¥0.66,190.00%,¥0.28,12.59,"58,300",1.53%,379,0.010%,872,0.023%,"2,219",0.058%,"61,770",1.63%,¥0,283,"3,000,912",0,0.00%,"2,275,940",75.84%,1.32,"2,984,606",58.28%,"1,739,325",27.47%,"819,734",18.61%,"555,395","662,369","809,276","1,142,228",6.31,8.27,"799,088",,,,,
,楽天グループ株式会社,楽天ラグジュアリービューティー,韓国コスメフェス,その他,https://www.tiktok.com/@tobuy_desu/video/7303385425282911496?lang=ja-JP,配信中,7248936224260472833,1783054262636562,2023/11/20,動画視聴,"1,000,000","1,100,000","¥1,300,000","¥450,000","¥380,000",¥1.30,¥1.18,110.00%,¥0.52,19.74,"2,314",0.21%,20,0.002%,27,0.002%,65,0.006%,"2,426",0.22%,¥183,522,"727,743","2,067",0.28%,"492,506",67.68%,1.48,"723,546",42.53%,"307,719",15.76%,"114,032",2.87%,"20,767","37,625","65,268","145,446",3.77,5.54,"372,257",,,,,
,株式会社J-オイルミルズ,スマートグリーンパック,Wハーフ,食品,https://www.tiktok.com/@moshiyome_tobuy/video/7306343769778048274?lang=ja-JP,配信中,7244370165020786690,1783776487681137,2023/11/28,動画視聴,"3,300,000","4,800,000","¥3,000,000","¥1,200,000","¥1,200,000",¥0.91,¥0.63,145.45%,¥0.28,15.23,"21,724",0.45%,147,0.003%,145,0.003%,326,0.007%,"22,342",0.47%,¥83,283,"4,230,182","14,379",0.34%,"2,915,015",68.91%,1.45,"4,208,306",66.73%,"2,808,019",33.40%,"1,405,740",9.37%,"394,307","744,979","1,089,449","2,000,610",5.97,8.62,,,,,,
,小林製薬株式会社,寝るとき足ホットン,寝るとき足ホットン,日用品,https://www.tiktok.com/@tobuy_desu/video/7308576170935618823?lang=ja-JP,配信中,7298628555913723905,1784320641407010,2023/12/04,動画視聴,"2,000,000","4,600,000","¥3,000,000",,"¥850,000",¥1.50,¥0.65,230.00%,¥0.25,14.68,"32,000",0.70%,436,0.009%,581,0.013%,"2,113",0.046%,"35,130",0.76%,¥85,249,"3,401,464","9,985",0.29%,"2,854,016",83.91%,1.19,"3,384,988",82.41%,"2,789,437",40.47%,"1,369,981",15.58%,"527,517","849,857","1,304,966","1,754,312",7.16,8.49,"1,198,536",,,,,
,花王株式会社,Liese,ニュアンススタイリングオイル,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7308575103321754881?lang=ja-JP,配信中,7078872325327781890,1784320616465458,2023/12/04,動画視聴,"2,000,000","2,300,000","¥2,500,000","¥850,000","¥848,998",¥1.25,¥1.09,115.00%,¥0.41,18.67,"9,398",0.41%,26,0.001%,142,0.006%,181,0.008%,"9,747",0.42%,¥0,406,"2,088,181",0,0.00%,"1,009,782",48.36%,2.07,"2,076,106",38.72%,"803,845",14.47%,"300,367",4.10%,"85,029","108,130","172,888","383,586",4.42,9.08,"211,819",,,,,
,ライオン株式会社,hadakara,増える泡ボディーソープ,日用品,https://www.tiktok.com/@tobuy_desu/video/7308986963330223368?lang=ja-JP,配信中,7299352927171559426,1784421180387345,2023/12/05,動画視聴,"2,000,000","2,300,000","¥4,500,000","¥750,000","¥750,000",¥2.25,¥1.96,115.00%,¥0.46,12.31,"1,747",0.08%,21,0.001%,23,0.001%,45,0.002%,"1,836",0.08%,¥189,456,"1,644,590","3,959",0.24%,"867,953",52.78%,1.89,"1,636,083",33.52%,"548,466",13.20%,"215,941",5.04%,"82,499","123,589.00","210,465.00","387,992.00",3.00,5.65,"655,410",,,,,
,花王株式会社,Liese,秒で前髪復活パウダー,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7309297847055224082?lang=ja-JP,配信中,7078872325327781890,1784497244640321,2023/12/06,動画視聴,"1,500,000","2,300,000","¥2,000,000","¥700,000","¥700,000",¥1.33,¥0.87,153.33%,¥0.36,17.69,"15,400",0.67%,86,0.004%,260,0.011%,582,0.025%,"16,328",0.71%,¥0,360,"1,939,897",0,0.00%,"1,540,275",79.40%,1.26,"1,928,670",54.69%,"1,054,745",21.93%,"422,930",5.18%,"99,827","162,565","287,279","512,474",5.06,6.34,"360,103",,,,,
,小林製薬株式会社,あずきのチカラ,あずきのチカラ,日用品,https://www.tiktok.com/@tobuy_desu/video/7309289463153265922?lang=ja-JP,配信中,7302248127946489857,1784495561705521,2023/12/06,動画視聴,"1,000,000","1,500,000","¥1,300,000","¥450,000","¥449,995",¥1.30,¥0.87,150.00%,¥0.35,18.48,"5,823",0.39%,106,0.007%,81,0.005%,135,0.009%,"6,145",0.41%,¥114,346,"1,300,184","3,921",0.30%,"919,883",70.75%,1.41,"1,293,749",80.07%,"1,035,887",24.18%,"312,852",8.31%,"107,537","149,133","231,639","450,217",6.05,8.51,"199,816",,,,,
,花王株式会社,マジックリン,キッチンマジックリン泡ジェット,日用品,https://www.tiktok.com/@tobuy_desu/video/7311171192549936392,配信中,7301187566009827329,1784954787872833,2023/12/11,動画視聴,"1,500,000","4,500,000","¥3,000,000","¥1,400,000","¥700,000",¥2.00,¥0.67,300.00%,¥0.35,11.89,"7,773",0.17%,48,0.001%,67,0.001%,360,0.008%,"8,248",0.18%,¥123,354,"1,974,619","5,656",0.29%,"1,523,594",77.16%,1.3,"1,967,166",69.19%,"1,360,989",22.55%,"443,638",11.02%,"216,685","293,826","447,254","772,651",4.63,5.98,"2,525,381",,,,,
,花王株式会社,バブ,あふれるのはきっと、お湯だけじゃない,日用品,https://www.tiktok.com/@moshiyome_tobuy/video/7311151888001436929?lang=ja-JP,配信中,7278541720642633730,1784949756154994,2023/12/11,動画視聴,"1,000,000","1,800,000","¥1,000,000","¥500,000","¥499,996",¥1.00,¥0.56,180.00%,¥0.32,14.33,"8,551",0.48%,111,0.006%,75,0.004%,134,0.007%,"8,871",0.49%,¥83,319,"1,566,007","6,020",0.38%,"1,266,637",80.88%,1.24,"1,556,865",71.87%,"1,118,917",32.95%,"512,993",11.32%,"176,188","292,369","449,377","659,438",5.51,6.77,"233,993",,,,,
,花王株式会社,ワイドハイター,ワイドハイターexパワー,日用品,https://www.tiktok.com/@tobuy_desu/video/7311666636254153992?lang=ja-JP,配信中,7250318726904561665,1785081323380738,2023/12/12,動画視聴,"3,000,000","3,700,000","¥3,000,000","¥1,350,000","¥1,348,478",¥1.00,¥0.81,123.33%,¥0.43,11.33,"5,801",0.16%,47,0.001%,97,0.003%,185,0.005%,"6,130",0.17%,¥159,426,"3,162,543","8,459",0.27%,"1,863,651",58.93%,1.7,"3,149,298",62.79%,"1,977,367",26.77%,"842,975",9.96%,"313,561","487,075","875,123","1,493,555",4.67,7.89,"537,457",,,,,
,花王株式会社,Liese,秒で前髪復活パウダー２本目,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7312281777190620424?lang=ja-JP,配信中,7078872325327781890,1785226390966273,2023/12/14,動画視聴,"1,500,000","2,100,000","¥2,000,000","¥700,000","¥700,000",¥1.33,¥0.95,140.00%,¥0.41,15.23,"3,427",0.16%,56,0.003%,75,0.004%,113,0.005%,"3,671",0.17%,¥0,405,"1,726,646",0,0.00%,"1,274,007",73.79%,1.36,"1,716,454",46.69%,"801,467",22.23%,"381,516",5.29%,"90,855","190,585","328,453","585,403",5.08,6.84,"373,354",,,,,
,ライオン株式会社,hadakara,増える泡ボディーソープ2本目,日用品,https://www.tiktok.com/@tobuy_desu/video/7312665019349568775?lang=ja-JP,配信中,7299352927171559426,1785327465984034,2023/12/15,動画視聴,"2,250,000","2,500,000","¥4,500,000","¥970,000","¥968,463",¥2.00,¥1.80,111.11%,¥0.43,13.56,"16,300",0.65%,59,0.002%,95,0.004%,213,0.009%,"16,667",0.67%,¥130,430,"2,248,516","7,430",0.33%,"1,412,578",62.82%,1.59,"2,234,962",48.90%,"1,092,936",11.98%,"267,808",3.21%,"71,740","121,439","229,738","625,005",3.27,5.17,"251,484",,,,,
,HJホールディングス株式会社,Hulu,彼氏彼女訴求,その他,https://www.tiktok.com/@tobuy_desu/video/7312640648241237249?lang=ja-JP,配信中,7301245401318031361,1785313714774018,2023/12/15,動画視聴,"3,000,000","3,500,000","¥3,500,000","¥1,050,000","¥1,330,793",¥1.17,¥1.00,116.67%,¥0.46,19.3,"6,428",0.18%,76,0.002%,67,0.002%,64,0.002%,"6,635",0.19%,¥162,458,"2,905,086","8,196",0.28%,"1,816,162",62.52%,1.6,"2,889,908",55.94%,"1,616,570",20.17%,"582,968",3.18%,"91,758","144,332","279,259","858,342",4.25,6.77,"594,914",,,,,
,HJホールディングス株式会社,Hulu,独身実家訴求,その他,https://www.tiktok.com/@tobuy_desu/video/7312644670100622610?lang=ja-JP,配信中,7301245401318031361,1785314247902242,2023/12/15,動画視聴,"3,000,000","3,600,000","¥3,500,000","¥1,050,000","¥1,333,250",¥1.17,¥0.97,120.00%,¥0.44,18.67,"3,329",0.09%,24,0.001%,42,0.001%,40,0.001%,"3,435",0.10%,¥161,440,"3,028,628","8,279",0.27%,"1,901,451",62.78%,1.59,"3,015,847",66.20%,"1,996,641",27.73%,"836,359",4.97%,"149,828","238,071","398,370","1,247,250",5.14,8.15,"571,372",,,,,
,小林製薬株式会社,命の母カイロ(to buyチーム配信のみ),命の母カイロ,日用品,https://www.tiktok.com/@tobuy_desu/video/7313761443260779778?lang=ja-JP,配信中,7298173631773818882,1785586678838306,2023/12/18,動画視聴,"2,000,000","2,623,048","¥2,500,000","¥850,000","¥830,431",¥1.25,¥0.95,131.15%,¥0.40,16.72,"12,369",0.47%,259,0.010%,104,0.004%,311,0.012%,"13,043",0.50%,¥120,400,"2,072,678","6,864",0.33%,"1,571,618",75.83%,1.32,"2,060,833",59.49%,"1,226,032",26.74%,"551,167",8.13%,"167,518","233,303","361,800","716,074",5.03,6.59,"550,370",,,,,
,小林製薬株式会社,命の母カイロ(インフィード合算),命の母カイロ,日用品,https://www.tiktok.com/@tobuy_desu/video/7313761443260779778?lang=ja-JP,配信中,,,2023/12/18,動画視聴,,"3,950,000",,"¥1,448,500","¥1,428,931",#DIV/0!,¥0.00,#DIV/0!,¥0.41,16.72,"19,100",0.48%,333,0.008%,235,0.006%,311,0.008%,"19,979",0.51%,¥125,414,"3,449,630","11,366",0.33%,"2,379,083",68.97%,1.45,"3,429,970",59.94%,"2,055,860",27.11%,"929,804",8.31%,"284,989","397,754","613,688","1,210,426",5.10,7.36,,,,,,
,コーセーコスメポート株式会社,ONE BY KOSE,ONE BY KOSE セラム シールド　[医薬部外品],スキンケア,https://www.tiktok.com/@tobuy_desu/video/7314137706374728978?lang=ja-JP,配信中,7306425543530987522,1785678670517266,2023/12/19,動画視聴,"1,500,000","2,100,000","¥2,000,000","¥700,000","¥700,000",¥1.33,¥0.95,140.00%,¥0.39,13.49,"13,900",0.66%,105,0.005%,151,0.007%,897,0.043%,"15,053",0.72%,¥0,390,"1,793,907",0,0.00%,"1,204,459",67.14%,1.49,"1,786,673",66.49%,"1,187,956",23.77%,"424,634",8.47%,"151,246","258,442","402,722","666,790",5.89,8.74,"306,093",¥0.0,,,,
,株式会社ピエール ファーブル ジャポン,Avene,アベンヌウォーター,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7314885534600416520?lang=ja-JP,配信中,7049900709814337537,1785862271489073,2023/12/21,動画視聴,"1,150,000","1,400,000","¥1,275,000","¥520,000","¥450,000",¥1.11,¥0.91,121.74%,¥0.49,13.49,"2,702",0.19%,26,0.002%,15,0.001%,70,0.005%,"2,813",0.20%,¥158,488,"920,749","2,840",0.31%,"648,765",70.46%,1.42,"915,260",50.76%,"464,579",16.32%,"149,385",5.86%,"53,672","95,537","130,037","275,322",3.72,5.25,"479,251",¥3.1,,,,
,小林製薬株式会社,ナイトミン,耳ほぐ,日用品,https://www.tiktok.com/@tobuy_desu/video/7324903179722722568?lang=ja-JP,配信中,7308607451182858241,1788306918863873,2024/01/17,動画視聴,"1,500,000","3,254,000","¥2,000,000","¥700,000","¥700,000",¥1.33,¥0.61,216.93%,¥0.25,16.53,"19,700",0.61%,233,0.007%,346,0.01%,226,0.007%,"20,505",0.63%,¥0,247,"2,830,383",0,0.00%,"2,122,755",75.00%,1.33,"2,818,862",70.56%,"1,988,931",30.03%,"846,510",14.34%,"404,086","573,507.00","689,266.00","1,330,837.00",7.83,10.40,"423,617",,,,,
,,リサージ,,スキンケア,,配信中,7228052559557197826,1788757867844641,2024/01/22,動画視聴,"1,000,000","1,450,000",,,"¥450,000",¥0.00,¥0.00,145.00%,¥0.36,,"1,462",0.10%,15,0.001%,25,0.002%,18,0.001%,"1,520",0.10%,¥117,364,"1,235,410","3,821",0.31%,"721,365",58.39%,1.71,"1,230,956",79.41%,"977,510",23.76%,"292,461",4.20%,"51,694","92,337.00","184,399.00","405,879.00",4.69,8.00,"214,590",¥2.8,,,,
,レブロン株式会社,レブロン,ジェリーティントリップセラム,メイクアップ,https://www.tiktok.com/@tobuy_desu/video/7329323579395329281?lang=ja-JP,配信中,7299263685933924353,1789391173956642,2024/01/29,動画視聴,"2,000,000","2,900,000","¥2,500,000","¥850,000","¥850,000",¥1.25,¥0.86,145.00%,¥0.36,14.91,"5,935",0.20%,73,0.003%,82,0.00%,368,0.013%,"6,458",0.22%,¥104,359,"2,365,038","8,150",0.34%,"1,387,914",58.68%,1.7,"2,351,000",48.56%,"1,141,632",19.19%,"451,151",5.20%,"122,278","168,984.00","330,675.00","607,821.00",3.85,6.52,"534,962",¥0.0,¥0.0,¥306.7,¥20.4,¥387.1
,レブロン株式会社,レブロン,カラーステイロングウェアメイクアップD,メイクアップ,https://www.tiktok.com/@tobuy_z/video/7329324288253644034?lang=ja-JP,配信中,7299263685933924353,1789390436284450,2024/01/29,動画視聴,"1,500,000","2,000,000","¥1,500,000","¥730,000","¥730,000",¥1.00,¥0.75,133.33%,¥0.41,13.14,"3,584",0.18%,21,0.001%,11,0.00%,215,0.011%,"3,831",0.19%,¥139,413,"1,765,012","5,235",0.30%,"685,137",38.82%,2.58,"1,754,741",25.38%,"445,383",8.20%,"143,862",3.54%,"62,167","96,916.00","133,731.00","258,834.00",2.63,6.73,"234,988",¥3.6,,,,
,株式会社ネットプロテクションズ,atone,,その他,https://www.tiktok.com/@tobuy_desu/video/7330535506851171602?lang=ja-JP,配信中,7327561440813039618,1789682461557762,2024/02/01,動画視聴,"3,250,000","1,200,000","¥3,412,500",,"¥1,400,000",¥1.05,¥2.84,36.92%,¥0.42,16.65,"2,193",0.18%,9,0.001%,46,0.00%,85,0.007%,"2,333",0.19%,¥140,417,"3,352,763","9,986",0.30%,"1,581,695",47.18%,2.12,"3,337,511",49.25%,"1,643,801",15.62%,"521,231",3.25%,"108,515","197,933.00","284,971.00","783,430.00",3.67,7.73,"-2,152,763",,,,,
,小林製薬株式会社,ハナノア,ハナノア,日用品,https://www.tiktok.com/@tobuy_desu/video/7334920413903998215?lang=ja-JP,配信中,7326844125498736641,1790752763020337,2024/02/13,動画視聴,"1,000,000","6,300,000","¥1,300,000","¥450,000","¥450,000",¥1.30,¥0.21,630.00%,¥0.25,15.6,"14,300",0.23%,331,0.005%,209,0.00%,708,0.011%,"15,548",0.25%,¥70,254,"1,765,770","6,418",0.36%,"1,330,539",75.35%,1.33,"1,756,132",73.55%,"1,291,650",36.56%,"641,994",19.06%,"334,695","396,302.00","471,788.00","1,026,560.00",7.24,9.55,"4,534,230",,,,,
,メルヴィータジャポン株式会社,メルヴィータ,,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7337224425923808519?lang=ja-JP,配信中,7330555061124382721,1791315077960753,2024/02/19,動画視聴,"1,150,000","1,700,000","¥1,350,000","¥520,000","¥520,000",¥1.17,¥0.79,147.83%,¥0.35,13.35,"4,835",0.28%,34,0.002%,56,0.00%,284,0.017%,"5,209",0.31%,¥111,353,"1,470,117","4,670",0.32%,"1,000,223",68.04%,1.47,"1,464,489",65.33%,"956,816",20.13%,"294,851",6.78%,"99,332","167,517.00","259,003.00","524,477.00",4.38,6.41,"229,883",¥1.3,,,,
,GU,GU MANIA,,その他,https://www.tiktok.com/@tobuy_desu/video/7337876669119712520?lang=ja-JP,配信中,7335670356352466945,1791474087138353,2024/02/21,動画視聴,"2,000,000","3,000,000","¥2,500,000","¥850,000","¥850,000",¥1.25,¥0.83,150.00%,¥0.31,14.44,"11,400",0.38%,6,0.000%,31,0.00%,127,0.004%,"11,564",0.39%,¥80,309,"2,748,185","10,582",0.39%,"1,864,549",67.85%,1.47,"2,735,834",44.77%,"1,224,728",18.77%,"513,604",5.77%,"157,861","235,444.00","382,075.00","818,841.00",3.68,5.41,"251,815",,,,,
,楽天グループ株式会社,楽天韓コスマチュリ,色物軸,その他,https://www.tiktok.com/@tobuy_z/video/7338247631539358977,配信中,7248936224260472833,1791652166895649,2024/02/22,動画視聴,"2,000,000","4,100,000","¥2,500,000","¥760,000","¥998,388",¥1.25,¥0.61,205.00%,¥0.30,17.18,"8,038",0.20%,18,0.000%,53,0.00%,230,0.006%,"8,339",0.20%,¥44,304,"3,282,255","22,329",0.68%,"1,067,438",32.52%,3.07,"3,123,483",17.71%,"553,202",5.69%,"177,720",1.47%,"46,012","76,451.00","110,230.00","236,566.00",1.92,5.62,"817,745",¥2.3,,,,
,楽天グループ株式会社,楽天韓コスマチュリ,スキンケア軸,その他,https://www.tiktok.com/@tobuy_desu/video/7338256132953181448,配信中,7248936224260472833,1791652483212321,2024/02/22,動画視聴,"2,000,000","3,200,000","¥2,500,000","¥760,000","¥1,172,711",¥1.25,¥0.78,160.00%,¥0.45,18.55,"22,000",0.69%,8,0.000%,28,0.00%,136,0.004%,"22,172",0.69%,¥52,448,"2,617,647","22,153",0.85%,"823,753",31.47%,3.18,"2,568,576",13.87%,"356,298",3.59%,"92,319",1.19%,"30,644","44,126.00","62,420.00","123,603.00",1.72,5.35,"582,353",¥3.0,,,,
