,手入力,※1年前の数値は出せない,,満足度参考基準？,視聴達成率,140%以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,管理画面から自動入力,,,,ENG率,0.6%以上,,,,,,オーガニックも含めた再生回数,,,,,,,,,,,,,,,,,,,,,リプライ有,,,,,,リプライ無,,,,,,,,,,,,,,,,,
,関数,,,,コメント数,50件以上,,,,,★,★,,,,,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,,,,
,,,,,いいね数,"10,000件以上",,リーチ、動画視聴の2本あるやつはキャンペーンIDを記載しない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,企業名,クライアント名,商品名,カテゴリー,URL,配信ステータス,広告アカウントID,campaign_id,投稿日,配信目的,想定再生回数,実績再生回数,総額,配信予算,配信費用,想定再生単価,実績再生単価,視聴達成率,掲載単価(N),動画秒数,いいね,いいね率,コメント,コメント率,シェア,シェア率,保存,保存率,ENG数,ENG率,CPC,CPM,IMP数,CL数,CTR,リーチ数,リーチ率,FQ,動画視聴数,2秒視聴率,2秒動画再生数,6秒視聴率,6秒動画再生数,完全視聴率,再生完了数,75%(動画が再生された長さが),50%(動画が再生された長さが),25%(動画が再生された長さが),平均再生秒数,一人当たりの平均視聴時間,オーガニック再生数（実績ー広告配信mp）,リーチ単価,視聴単価,cpc,完全視聴単価,エンゲージ単価
,花王株式会社,ケープ,黒ケープ,ヘアケア・スタイリング,https://vt.tiktok.com/ZSLHwRvV3/,配信終了,7151369742064861186,1750709214546945,2022/12/20,動画視聴,"2,000,000","2,200,000","¥2,500,000","¥760,000","¥678,760",¥1.25,¥1.14,110.00%,¥0.33,"20,73 ","15,000",0.68%,44,0.002%,93,0.004%,587,0.027%,"15,724",0.71%,¥66,¥332,"2,042,136","10,203",0.50%,"1,422,459",69.66%,1.44,"1,991,250",67.55%,"1,345,017",35.76%,"712,113",5.50%,"109,574","175,528","368,546","879,281",5.31,7.44,"157,864",,,,,
,エステー株式会社,ナチュリーフ,ナチュリーフ,日用品,https://vt.tiktok.com/ZSLHwbL9H/,配信中,7186919452213100545,1755166844933153,2023/01/16,動画視聴,"500,000","846,000","¥700,000","¥210,000","¥194,706",¥1.40,¥0.83,169.20%,¥0.27,17.6,"3,401",0.40%,1,0.000%,43,0.005%,557,0.066%,"4,002",0.47%,¥72,¥274,"708,391","2,690",0.38%,"484,472",68.39%,1.46,"681,131",63.75%,"434,218",24.88%,"169,475",9.86%,"67,155","94,225","127,196","240,160",5.91,8.31,"137,609",,,,,
,イミュ株式会社,dejavu,眉マスカラ,メイクアップ,https://vt.tiktok.com/ZS8PLVFew/,配信中,7189153445973164034,1755445428946978,2023/01/19,動画視聴,"2,000,000","2,900,000","¥2,500,000","¥760,000","¥729,023",¥1.25,¥0.86,145.00%,¥0.26,17.09,"11,609",0.40%,24,0.001%,80,0.003%,302,0.010%,"12,015",0.41%,¥0,¥263,"2,769,665",0,0.00%,"1,282,014",46.29%,2.16,"2,609,813",52.75%,"1,376,609",17.76%,"463,501",5.51%,"143,678","215,660","350,559","679,140",4.88,9.93,"130,335",¥0.5,,,,
,サラヤ株式会社,ヤシノミ,食器用洗剤,日用品,https://vt.tiktok.com/ZS8axoVkh/,配信中,7190248568580538370,1756692372621345,2023/02/02,動画視聴,"1,000,000","1,500,000","¥1,300,000","¥380,000","¥378,371",¥1.30,¥0.87,150.00%,¥0.25,15.9,"11,577",0.77%,75,0.005%,63,0.004%,311,0.021%,"12,026",0.80%,¥73,¥254,"1,485,789","5,183",0.35%,"1,145,676",77.11%,1.3,"1,387,268",67.47%,"935,964",33.20%,"460,530",6.89%,"95,533","271,695","423,108","651,546",6.09,7.37,"14,211",,¥1.7,¥250.8,¥13.6,¥108.1
,花王株式会社,Primavista,フェイスパウダー（透明感編）,メイクアップ,https://www.tiktok.com/@tobuy_desu/video/7196958093996084481?lang=ja-JP,配信中,7062602315437522946,1757070432627745,2023/02/06,動画視聴,"1,300,000","1,800,000","¥1,800,000","¥600,000","¥581,519",¥1.38,¥1.00,138.46%,¥0.35,9.43,"3,679",0.20%,11,0.001%,46,0.003%,86,0.005%,"3,822",0.21%,¥0,¥345,"1,684,860",0,0.00%,"817,087",48.50%,2.06,"1,601,271",38.55%,"617,299",11.37%,"182,075",6.00%,"96,007","175,039","233,776","504,695",3.73,7.31,"115,140",¥1.6,,,,
,花王株式会社,Primavista,フェイスパウダー（ベスコス編）,メイクアップ,https://www.tiktok.com/@tobuy_desu/video/7199552272488058114?lang=ja-JP,配信中,7062602315437522946,1757704438345778,2023/02/13,動画視聴,"1,300,000","2,000,000","¥1,800,000","¥600,000","¥597,159",¥1.38,¥0.90,153.85%,¥0.32,11.87,"6,112",0.31%,23,0.001%,49,0.002%,154,0.008%,"6,338",0.32%,¥0,¥318,"1,873,090",0,0.00%,"1,018,659",54.38%,1.84,"1,769,057",42.08%,"744,495",12.31%,"217,731",5.64%,"99,819","146,979","235,105","494,588",4.04,7.01,"126,910",¥1.8,,,,
,花王株式会社,IROKA,,日用品,https://www.tiktok.com/@tobuy_desu/video/7199928951005793538?_r=1&_t=8eJB4PhPQM3,配信中,7194319001038684161,1757795812255762,2023/02/14,動画視聴,"2,000,000","2,600,000","¥2,500,000","¥760,000","¥751,593",¥1.25,¥0.96,130.00%,¥0.32,17.48,"7,862",0.30%,24,0.001%,107,0.004%,265,0.010%,"8,258",0.32%,¥118,¥322,"2,327,093","6,340",0.27%,"1,247,394",53.60%,1.87,"2,216,411",43.34%,"960,571",18.39%,"407,549",4.71%,"104,336","175,215","249,190","536,670",4.12,7.32,"272,907",,¥0.7,¥394.3,¥24.0,¥302.7
,株式会社サン・スマイル,JMsolution,日焼け止め,スキンケア,https://vt.tiktok.com/ZS8mwrFW4/,配信中,7194318364611854338,1758430925998114,2023/02/21,動画視聴,"1,000,000","1,700,000","¥1,300,000","¥380,000","¥375,392",¥1.30,¥0.76,170.00%,¥0.25,13.82,"16,179",0.95%,54,0.003%,159,0.009%,"1,452",0.085%,"17,844",1.05%,¥71,¥246,"1,523,729","5,283",0.35%,"1,040,288",68.27%,1.46,"1,420,049",58.98%,"837,553",30.17%,"428,362",10.82%,"153,616","298,212","433,331","648,280",5.68,7.75,"176,271",¥2.4,¥1.5,¥246.1,¥8.5,¥72.9
,アモーレパシフィックジャパン株式会社,ETUDE,ニューイヤーコレクション,メイクアップ,https://www.tiktok.com/@tobuy_desu/video/7203631349494795521?lang=ja-JP,配信中,7199976615009419265,1758701302473778,2023/02/24,動画視聴,"1,000,000","1,500,000","¥1,300,000","¥450,000","¥436,379",¥1.30,¥0.87,150.00%,¥0.29,19.81,"18,200",0.00%,72,0.00%,217,0.010%,305,0.020%,"18,794",1.25%,¥100,¥293,"1,489,055.00","4,337",0.29%,"770,422.00",51.74%,1.93,"1,384,780",41.63%,"576,461",15.22%,"210,729",3.85%,"53,271","109,405","156,404","271,938",3.95,7.11,"10,945",¥1.7,¥0.9,¥299.7,¥24.4,¥69.2
,ライオン株式会社,アクロン,アクロンスマートケア,日用品,https://vt.tiktok.com/ZS8HKcPYp/,配信中,7204764417722990593,1758976336798769,2023/02/27,動画視聴,"2,000,000","2,900,000","¥2,500,000","¥760,000","¥749,551",¥1.25,¥0.86,145.00%,¥0.29,16.3,"6,609",0.23%,16,0.001%,100,0.003%,127,0.004%,"6,852",0.24%,¥0,¥290,"2,581,549",0,0.00%,"1,500,397",58.12%,1.72,"2,469,568",68.49%,"1,691,506",30.61%,"755,947",8.41%,"207,608","315,264","519,190","1,114,638",6.99,11.50,"318,451",,,,,
,株式会社サン・スマイル,RISM,美容ケア,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7205497860119350530,配信中,7204658059963138050,1759156896541714,2023/03/01,動画視聴,"1,000,000","1,900,000","¥1,300,000","¥380,000","¥376,373",¥1.30,¥0.68,190.00%,¥0.23,15.16,"18,200",0.96%,101,0.005%,93,0.005%,"1,645",0.087%,"20,039",1.05%,¥75,¥230,"1,629,979","4,969",0.30%,"1,039,308",63.76%,1.57,"1,527,770",59.64%,"911,200",28.83%,"440,384",14.49%,"221,333","332,362","387,771","620,852",5.97,8.77,"270,021",¥2.4,,,,
,株式会社サン・スマイル,IEAPA,カクタスバンド,日用品,https://www.tiktok.com/@tobuy_desu/video/7205497683161664770?lang=ja-JP,配信中,7204657656206835713,1759157492537393,2023/03/01,動画視聴,"1,000,000","1,600,000","¥1,300,000","¥380,000","¥377,768",¥1.30,¥0.81,160.00%,¥0.28,15.12,"2,591",0.00%,47,0.00%,52,0.010%,81,0.005%,"2,771",0.17%,¥86,¥282,"1,337,687","4,352",0.33%,"928,618.00",69.42%,1.44,"1,270,093",63.26%,"803,487",32.90%,"417,863",10.27%,"130,466","218,974","298,118","640,468",5.94,8.13,"262,313",,,,,
,ピアス株式会社,デジャヴュ,マスカラ,メイクアップ,https://vt.tiktok.com/ZS893P9hq/,配信中,7189153445973164034,1759239512336418,2023/03/02,動画視聴,"2,000,000","2,700,000","¥2,500,000","¥760,000","¥733,252",¥1.25,¥0.93,135.00%,¥0.29,14.89,"11,518",0.43%,42,0.002%,46,0.002%,185,0.007%,"11,791",0.44%,¥114,¥286,"2,560,594","6,384",0.25%,"1,552,308",60.62%,1.65,"2,395,220",57.72%,"1,382,576",19.84%,"475,146",3.79%,"90,880","174,530","316,907","723,048",4.02,6.20,"139,406",¥0.8,,,,
,株式会社サン・スマイル,/IM meme,美容ケア,メイクアップ,https://www.tiktok.com/@tobuy_desu/video/7208383784708820225,配信中,7208384682617061378,1759866195450897,2023/03/09,動画視聴,"1,000,000","1,400,000","¥1,300,000","¥380,000","¥370,492",¥1.30,¥0.93,140.00%,¥0.28,13.28,"6,838",0.49%,17,0.001%,58,0.004%,136,0.010%,"7,049",0.50%,¥0,¥284,"1,302,890",0,0.00%,"710,702",54.55%,1.83,"1,213,604",50.48%,"612,662",19.54%,"237,160",7.42%,"90,070","134,910","220,643","409,384",4.72,8.05,"97,110",¥3.5,,,,
